Experience,Qualifications,Work Type,Company Size,Preference,Job Title,Role,skills,Salary_INR
3,MBA,Full-Time,111809,Female,Cloud Engineer,Cloud Engineer,"AWS, Azure, Kubernetes, Docker",3320607
4,BCA,Remote,20322,Female,Cyber Security Analyst,Cyber Security Analyst,"Penetration Testing, Python, Network Security, SIEM",2446183
4,M.Tech,Full-Time,122591,Male,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, Python, AWS, TensorFlow",3403823
12,BCA,Contract,87396,Male,Cloud Engineer,Cloud Engineer,"Linux, Docker, Azure, AWS",3904567
0,PhD,Remote,167484,Male,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, TensorFlow, Docker, AWS",2885299
7,MCA,Full-Time,150123,Female,Backend Developer,Backend Developer,"Java, MySQL, Docker, REST API",2461099
1,BCA,Remote,170609,Female,Frontend Developer,Frontend Developer,"React, CSS, JavaScript, HTML",1686727
14,PhD,Full-Time,148846,Female,Mobile App Developer,Mobile App Developer,"Android, Dart, Firebase, Flutter",3663705
4,MCA,Remote,120509,Male,Machine Learning Engineer,Machine Learning Engineer,"Docker, AWS, PyTorch, Python",3096239
3,MBA,Full-Time,104911,Female,Machine Learning Engineer,Machine Learning Engineer,"TensorFlow, Python, Docker, PyTorch",2832598
14,M.Tech,Contract,89093,Female,Cloud Engineer,Cloud Engineer,"Azure, AWS, Docker, Kubernetes",3994887
3,M.Tech,Contract,23507,Male,Mobile App Developer,Mobile App Developer,"Dart, Firebase, Android, Flutter",2275193
14,BCA,Contract,3241,Female,Data Scientist,Data Scientist,"Python, SQL, Machine Learning, Statistics",3628089
7,BCA,Full-Time,117259,Female,Mobile App Developer,Mobile App Developer,"Flutter, Android, Firebase, Dart",2312266
7,MCA,Intern,605,Male,Data Scientist,Data Scientist,"Statistics, SQL, Python, Machine Learning",2730463
0,MBA,Contract,39738,Male,DevOps Engineer,DevOps Engineer,"CI/CD, AWS, Linux, Docker",2921515
1,PhD,Full-Time,164209,Male,Cyber Security Analyst,Cyber Security Analyst,"Python, SIEM, Network Security, Penetration Testing",2802346
2,M.Tech,Contract,196601,Both,Backend Developer,Backend Developer,"Spring Boot, Java, MySQL, REST API",2456957
13,MBA,Remote,13982,Female,Cyber Security Analyst,Cyber Security Analyst,"Network Security, Penetration Testing, Python, SIEM",3678693
1,PhD,Contract,95637,Male,Mobile App Developer,Mobile App Developer,"Dart, Firebase, Flutter, Android",2475143
9,PhD,Intern,61222,Both,Cloud Engineer,Cloud Engineer,"Kubernetes, Docker, Azure, AWS",4181434
7,B.Tech,Full-Time,52942,Female,Software Tester,Software Tester,"JIRA, Manual Testing, Automation, Selenium",1934518
15,PhD,Full-Time,38147,Both,Frontend Developer,Frontend Developer,"TypeScript, React, CSS, HTML",3576674
11,PhD,Intern,191218,Both,Data Scientist,Data Scientist,"Python, Pandas, SQL, Statistics",4052902
15,PhD,Remote,171183,Female,Software Tester,Software Tester,"JIRA, Manual Testing, Selenium, Automation",3795683
13,BCA,Remote,130160,Male,UI/UX Designer,UI/UX Designer,"Wireframing, Prototyping, Adobe XD, Figma",2665970
1,MBA,Full-Time,73719,Male,UI/UX Designer,UI/UX Designer,"Figma, Prototyping, Adobe XD, Wireframing",2002106
7,MCA,Full-Time,131733,Female,Software Tester,Software Tester,"Manual Testing, JIRA, Selenium, Automation",2318290
4,B.Tech,Full-Time,5895,Both,Frontend Developer,Frontend Developer,"React, HTML, TypeScript, JavaScript",2175465
6,B.Tech,Contract,177733,Female,Mobile App Developer,Mobile App Developer,"Dart, Android, Firebase, Flutter",2461318
11,MBA,Contract,183969,Both,DevOps Engineer,DevOps Engineer,"AWS, Linux, Docker, CI/CD",4145013
9,BCA,Contract,196761,Both,Cyber Security Analyst,Cyber Security Analyst,"SIEM, Python, Penetration Testing, Network Security",3376374
4,MCA,Remote,15504,Both,Software Tester,Software Tester,"JIRA, Selenium, Automation, Manual Testing",1894558
0,PhD,Remote,186394,Both,UI/UX Designer,UI/UX Designer,"Adobe XD, Wireframing, Figma, Prototyping",1940124
8,B.Tech,Remote,138288,Both,Frontend Developer,Frontend Developer,"HTML, TypeScript, JavaScript, React",2698034
3,MCA,Intern,43532,Male,Backend Developer,Backend Developer,"Docker, Java, REST API, MySQL",2421377
13,M.Tech,Full-Time,70555,Female,Software Tester,Software Tester,"Manual Testing, Automation, JIRA, Selenium",3110020
15,B.Tech,Contract,149317,Male,Mobile App Developer,Mobile App Developer,"Flutter, Android, Firebase, Dart",3959007
8,BCA,Full-Time,174165,Male,Mobile App Developer,Mobile App Developer,"Android, Firebase, Dart, Flutter",2609146
10,PhD,Full-Time,182124,Male,UI/UX Designer,UI/UX Designer,"Prototyping, Wireframing, Figma, Adobe XD",3214685
12,MBA,Intern,5749,Male,Cyber Security Analyst,Cyber Security Analyst,"Network Security, Penetration Testing, SIEM, Python",4072719
8,MBA,Intern,156171,Female,Mobile App Developer,Mobile App Developer,"Firebase, Dart, Android, Flutter",3124510
6,PhD,Remote,44338,Both,Mobile App Developer,Mobile App Developer,"Firebase, Flutter, Android, Dart",2893662
15,MBA,Remote,92529,Both,Frontend Developer,Frontend Developer,"React, HTML, CSS, TypeScript",3719975
5,PhD,Remote,157764,Both,UI/UX Designer,UI/UX Designer,"Figma, Wireframing, Prototyping, Adobe XD",2682940
0,PhD,Contract,11149,Male,DevOps Engineer,DevOps Engineer,"AWS, CI/CD, Docker, Kubernetes",2867778
2,MBA,Full-Time,70337,Female,Cyber Security Analyst,Cyber Security Analyst,"Python, Network Security, SIEM, Penetration Testing",2923115
10,MBA,Intern,173792,Both,Mobile App Developer,Mobile App Developer,"Dart, Flutter, Firebase, Android",3077233
5,BCA,Contract,140603,Male,Software Tester,Software Tester,"Automation, Selenium, Manual Testing, JIRA",2199409
7,M.Tech,Full-Time,122903,Both,Machine Learning Engineer,Machine Learning Engineer,"AWS, Docker, Python, PyTorch",3472764
12,MCA,Intern,151091,Female,Backend Developer,Backend Developer,"Java, Docker, MySQL, Spring Boot",3589259
6,M.Tech,Remote,126972,Both,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, Docker, AWS, TensorFlow",3451517
10,PhD,Full-Time,190638,Male,Data Scientist,Data Scientist,"Statistics, Machine Learning, Python, SQL",3652997
5,MBA,Intern,28852,Female,Frontend Developer,Frontend Developer,"JavaScript, CSS, React, HTML",2368486
15,B.Tech,Intern,118410,Both,DevOps Engineer,DevOps Engineer,"Docker, Linux, CI/CD, AWS",4428677
7,BCA,Remote,69521,Female,DevOps Engineer,DevOps Engineer,"Linux, AWS, Docker, CI/CD",3114912
10,BCA,Intern,50450,Female,Machine Learning Engineer,Machine Learning Engineer,"TensorFlow, Docker, AWS, PyTorch",3746736
10,M.Tech,Remote,196454,Male,UI/UX Designer,UI/UX Designer,"Adobe XD, Figma, Prototyping, Wireframing",3198762
10,BCA,Remote,61109,Female,Mobile App Developer,Mobile App Developer,"Firebase, Flutter, Dart, Android",2714849
11,MBA,Contract,172261,Male,Backend Developer,Backend Developer,"MySQL, REST API, Java, Docker",3242832
3,B.Tech,Full-Time,129637,Male,DevOps Engineer,DevOps Engineer,"CI/CD, Docker, Kubernetes, Linux",2997793
6,B.Tech,Full-Time,76447,Both,Software Tester,Software Tester,"Selenium, JIRA, Manual Testing, Automation",2272468
2,BCA,Contract,191451,Female,Mobile App Developer,Mobile App Developer,"Android, Firebase, Flutter, Dart",1747240
13,MCA,Intern,67478,Female,Cloud Engineer,Cloud Engineer,"Kubernetes, AWS, Docker, Azure",3993647
11,MBA,Full-Time,173762,Female,Cloud Engineer,Cloud Engineer,"Kubernetes, Linux, Docker, AWS",4110082
11,MCA,Remote,39643,Male,Data Scientist,Data Scientist,"Statistics, SQL, Machine Learning, Python",3839613
5,MCA,Full-Time,197046,Female,DevOps Engineer,DevOps Engineer,"Linux, CI/CD, AWS, Kubernetes",3173009
12,MCA,Remote,140577,Female,Cloud Engineer,Cloud Engineer,"Kubernetes, Linux, AWS, Docker",4355454
0,B.Tech,Remote,112728,Both,Machine Learning Engineer,Machine Learning Engineer,"Docker, PyTorch, TensorFlow, Python",2344137
2,MCA,Full-Time,111395,Female,Software Tester,Software Tester,"Automation, JIRA, Manual Testing, Selenium",1732391
15,MCA,Full-Time,7046,Female,Software Tester,Software Tester,"Automation, Manual Testing, Selenium, JIRA",2723534
1,MBA,Full-Time,65241,Female,Frontend Developer,Frontend Developer,"React, CSS, HTML, JavaScript",1858755
9,BCA,Intern,95891,Male,Cloud Engineer,Cloud Engineer,"Azure, AWS, Docker, Linux",3427018
10,M.Tech,Contract,123590,Male,Cyber Security Analyst,Cyber Security Analyst,"Penetration Testing, Python, Network Security, SIEM",4211826
11,MCA,Intern,91789,Female,Backend Developer,Backend Developer,"Docker, MySQL, Java, Spring Boot",3198127
14,B.Tech,Intern,104097,Male,Frontend Developer,Frontend Developer,"HTML, CSS, JavaScript, TypeScript",3494813
7,PhD,Contract,43586,Female,Cyber Security Analyst,Cyber Security Analyst,"Penetration Testing, SIEM, Python, Network Security",3705054
6,MBA,Full-Time,174185,Female,DevOps Engineer,DevOps Engineer,"Kubernetes, AWS, CI/CD, Docker",3353183
2,MBA,Intern,140508,Male,Mobile App Developer,Mobile App Developer,"Flutter, Dart, Android, Firebase",2074406
1,MCA,Remote,190560,Both,Cloud Engineer,Cloud Engineer,"Linux, Docker, Kubernetes, Azure",2843367
10,PhD,Intern,157492,Female,DevOps Engineer,DevOps Engineer,"Docker, CI/CD, AWS, Linux",4307469
13,MCA,Full-Time,159450,Male,Software Tester,Software Tester,"JIRA, Automation, Selenium, Manual Testing",3565607
5,BCA,Full-Time,131525,Both,Data Scientist,Data Scientist,"Machine Learning, Statistics, Python, SQL",2744934
4,B.Tech,Contract,135112,Both,Cyber Security Analyst,Cyber Security Analyst,"Python, Penetration Testing, Network Security, SIEM",2725734
7,MBA,Contract,39441,Female,Software Tester,Software Tester,"Selenium, Automation, JIRA, Manual Testing",2646628
6,M.Tech,Intern,168973,Female,Software Tester,Software Tester,"Automation, Manual Testing, JIRA, Selenium",2672499
6,M.Tech,Intern,87427,Both,Cyber Security Analyst,Cyber Security Analyst,"Python, SIEM, Network Security, Penetration Testing",3146968
7,B.Tech,Contract,105039,Female,Machine Learning Engineer,Machine Learning Engineer,"AWS, TensorFlow, Python, PyTorch",3434054
5,BCA,Full-Time,30299,Female,Machine Learning Engineer,Machine Learning Engineer,"TensorFlow, AWS, Python, PyTorch",2607074
8,M.Tech,Contract,119365,Female,Data Scientist,Data Scientist,"Machine Learning, Statistics, SQL, Python",3086511
6,MBA,Full-Time,157913,Both,UI/UX Designer,UI/UX Designer,"Prototyping, Wireframing, Figma, Adobe XD",2421854
9,MBA,Contract,96437,Female,Mobile App Developer,Mobile App Developer,"Android, Flutter, Firebase, Dart",2833597
13,BCA,Full-Time,44301,Both,Machine Learning Engineer,Machine Learning Engineer,"TensorFlow, AWS, Python, PyTorch",4201389
8,MBA,Remote,44230,Both,Machine Learning Engineer,Machine Learning Engineer,"TensorFlow, PyTorch, Python, Docker",3704130
15,M.Tech,Remote,199043,Female,Cyber Security Analyst,Cyber Security Analyst,"Penetration Testing, SIEM, Python, Network Security",4407586
12,MBA,Intern,7200,Female,Frontend Developer,Frontend Developer,"CSS, HTML, React, JavaScript",3440689
11,MBA,Full-Time,150113,Both,Cloud Engineer,Cloud Engineer,"Docker, AWS, Azure, Linux",4112035
13,M.Tech,Intern,161587,Female,Frontend Developer,Frontend Developer,"HTML, JavaScript, TypeScript, React",3810350
10,PhD,Intern,32893,Both,Software Tester,Software Tester,"JIRA, Manual Testing, Automation, Selenium",2956537
4,M.Tech,Contract,87963,Female,UI/UX Designer,UI/UX Designer,"Prototyping, Wireframing, Adobe XD, Figma",2253509
8,M.Tech,Remote,36379,Female,Mobile App Developer,Mobile App Developer,"Dart, Flutter, Android, Firebase",2910907
15,BCA,Contract,195532,Both,Frontend Developer,Frontend Developer,"HTML, React, JavaScript, CSS",3588805
7,B.Tech,Contract,45606,Female,UI/UX Designer,UI/UX Designer,"Adobe XD, Figma, Wireframing, Prototyping",2585353
6,M.Tech,Full-Time,152568,Male,Frontend Developer,Frontend Developer,"React, TypeScript, HTML, JavaScript",2526835
1,M.Tech,Remote,111108,Male,Backend Developer,Backend Developer,"REST API, Java, Docker, Spring Boot",2127695
6,MCA,Intern,111773,Male,Software Tester,Software Tester,"Selenium, Manual Testing, JIRA, Automation",2131606
9,PhD,Full-Time,193710,Both,Cloud Engineer,Cloud Engineer,"Kubernetes, Docker, AWS, Linux",4285696
13,MBA,Remote,119245,Male,Mobile App Developer,Mobile App Developer,"Firebase, Android, Dart, Flutter",3015332
9,PhD,Contract,181037,Both,DevOps Engineer,DevOps Engineer,"CI/CD, Linux, AWS, Kubernetes",4147093
2,MCA,Contract,123207,Male,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, AWS, Python, TensorFlow",2793814
2,MCA,Intern,146046,Male,Data Scientist,Data Scientist,"Machine Learning, Statistics, Pandas, SQL",2513355
5,B.Tech,Contract,121811,Both,Machine Learning Engineer,Machine Learning Engineer,"AWS, TensorFlow, Python, Docker",3083680
5,B.Tech,Full-Time,199942,Female,UI/UX Designer,UI/UX Designer,"Wireframing, Figma, Adobe XD, Prototyping",2013506
10,MBA,Remote,126891,Female,DevOps Engineer,DevOps Engineer,"Linux, Kubernetes, CI/CD, AWS",3755455
9,B.Tech,Intern,69986,Both,Frontend Developer,Frontend Developer,"CSS, HTML, JavaScript, React",2383813
5,PhD,Remote,124978,Male,Cyber Security Analyst,Cyber Security Analyst,"Network Security, Python, Penetration Testing, SIEM",3462813
10,BCA,Remote,85391,Female,Frontend Developer,Frontend Developer,"HTML, React, CSS, TypeScript",2863304
11,BCA,Intern,128953,Female,Mobile App Developer,Mobile App Developer,"Firebase, Flutter, Android, Dart",2813756
1,B.Tech,Remote,128533,Male,UI/UX Designer,UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing",1574129
15,PhD,Intern,84201,Female,Data Scientist,Data Scientist,"Python, Statistics, Pandas, SQL",4587498
5,B.Tech,Intern,51748,Female,Frontend Developer,Frontend Developer,"JavaScript, React, HTML, CSS",2068320
8,BCA,Full-Time,27499,Male,Software Tester,Software Tester,"JIRA, Manual Testing, Automation, Selenium",2161057
6,PhD,Full-Time,189351,Female,Mobile App Developer,Mobile App Developer,"Dart, Flutter, Firebase, Android",2971731
8,M.Tech,Contract,43254,Male,Data Scientist,Data Scientist,"Statistics, SQL, Machine Learning, Pandas",3444532
6,PhD,Full-Time,33613,Male,Cloud Engineer,Cloud Engineer,"Docker, AWS, Kubernetes, Linux",3532130
1,MCA,Remote,50676,Both,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, Python, AWS, TensorFlow",2457454
11,BCA,Full-Time,6803,Both,Mobile App Developer,Mobile App Developer,"Flutter, Dart, Android, Firebase",2714033
2,B.Tech,Full-Time,61649,Male,Machine Learning Engineer,Machine Learning Engineer,"AWS, PyTorch, TensorFlow, Docker",2824312
5,M.Tech,Contract,175359,Female,DevOps Engineer,DevOps Engineer,"Kubernetes, Linux, Docker, AWS",3400619
15,PhD,Contract,153133,Male,UI/UX Designer,UI/UX Designer,"Prototyping, Wireframing, Adobe XD, Figma",3612337
0,M.Tech,Contract,71405,Female,Software Tester,Software Tester,"Manual Testing, Automation, Selenium, JIRA",1549085
7,BCA,Remote,196334,Male,UI/UX Designer,UI/UX Designer,"Adobe XD, Prototyping, Figma, Wireframing",2146446
13,M.Tech,Intern,60533,Male,UI/UX Designer,UI/UX Designer,"Figma, Wireframing, Adobe XD, Prototyping",2969293
5,PhD,Intern,32563,Male,Mobile App Developer,Mobile App Developer,"Flutter, Android, Dart, Firebase",2894252
11,BCA,Remote,60322,Male,Machine Learning Engineer,Machine Learning Engineer,"Python, TensorFlow, AWS, PyTorch",3440441
7,MBA,Contract,33164,Male,Backend Developer,Backend Developer,"Docker, Java, MySQL, REST API",2796334
7,MCA,Contract,174492,Male,UI/UX Designer,UI/UX Designer,"Adobe XD, Wireframing, Figma, Prototyping",2288541
12,PhD,Intern,11702,Both,UI/UX Designer,UI/UX Designer,"Wireframing, Prototyping, Figma, Adobe XD",3572604
5,B.Tech,Contract,192981,Female,Software Tester,Software Tester,"Automation, Selenium, JIRA, Manual Testing",1897054
3,MBA,Remote,196233,Both,Cyber Security Analyst,Cyber Security Analyst,"Penetration Testing, SIEM, Python, Network Security",2746797
6,M.Tech,Intern,92462,Both,Cloud Engineer,Cloud Engineer,"Linux, Azure, AWS, Kubernetes",3524360
0,B.Tech,Remote,90279,Female,Frontend Developer,Frontend Developer,"JavaScript, React, TypeScript, CSS",1817516
1,B.Tech,Full-Time,7302,Male,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, TensorFlow, AWS, Python",2351684
8,M.Tech,Contract,18789,Female,Machine Learning Engineer,Machine Learning Engineer,"TensorFlow, AWS, PyTorch, Docker",3442533
15,B.Tech,Full-Time,189144,Male,Data Scientist,Data Scientist,"Pandas, Machine Learning, SQL, Statistics",3505244
14,BCA,Intern,4342,Male,Mobile App Developer,Mobile App Developer,"Android, Flutter, Dart, Firebase",3378570
1,MBA,Intern,61904,Male,Software Tester,Software Tester,"JIRA, Manual Testing, Automation, Selenium",1968820
4,MCA,Contract,10114,Male,Data Scientist,Data Scientist,"Pandas, SQL, Python, Statistics",2833468
9,B.Tech,Full-Time,122279,Male,UI/UX Designer,UI/UX Designer,"Prototyping, Wireframing, Adobe XD, Figma",2910702
5,BCA,Remote,110634,Both,Cloud Engineer,Cloud Engineer,"Kubernetes, Docker, Linux, AWS",3018813
1,M.Tech,Remote,22058,Male,Software Tester,Software Tester,"Automation, Selenium, Manual Testing, JIRA",1691769
7,MCA,Remote,194600,Both,Mobile App Developer,Mobile App Developer,"Android, Firebase, Dart, Flutter",2495517
7,BCA,Full-Time,90232,Both,Software Tester,Software Tester,"Manual Testing, Selenium, JIRA, Automation",2081272
13,PhD,Intern,66099,Both,Data Scientist,Data Scientist,"SQL, Statistics, Python, Pandas",4726689
11,M.Tech,Intern,96199,Male,Cyber Security Analyst,Cyber Security Analyst,"Python, SIEM, Network Security, Penetration Testing",4462727
11,MBA,Intern,165155,Male,UI/UX Designer,UI/UX Designer,"Adobe XD, Prototyping, Figma, Wireframing",3082019
10,MCA,Full-Time,185715,Female,Frontend Developer,Frontend Developer,"TypeScript, CSS, HTML, JavaScript",2669071
1,MBA,Intern,123385,Female,Machine Learning Engineer,Machine Learning Engineer,"AWS, Docker, TensorFlow, PyTorch",2731443
4,MBA,Full-Time,87955,Female,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, Python, Docker, TensorFlow",2994203
4,MBA,Full-Time,336,Male,Cyber Security Analyst,Cyber Security Analyst,"Python, Penetration Testing, SIEM, Network Security",2908394
12,BCA,Contract,118531,Female,DevOps Engineer,DevOps Engineer,"CI/CD, Docker, Kubernetes, Linux",3682813
10,MBA,Contract,163071,Male,Backend Developer,Backend Developer,"MySQL, Docker, REST API, Java",3255248
12,MBA,Remote,31171,Female,Machine Learning Engineer,Machine Learning Engineer,"AWS, Python, Docker, TensorFlow",4273541
1,B.Tech,Intern,69346,Male,Cyber Security Analyst,Cyber Security Analyst,"SIEM, Penetration Testing, Network Security, Python",2247643
7,M.Tech,Full-Time,4389,Male,Cyber Security Analyst,Cyber Security Analyst,"SIEM, Network Security, Python, Penetration Testing",3433424
4,B.Tech,Remote,54048,Female,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, TensorFlow, AWS, Python",3206175
11,MCA,Full-Time,84811,Both,Data Scientist,Data Scientist,"Machine Learning, Statistics, Python, Pandas",3709161
1,M.Tech,Full-Time,192141,Female,UI/UX Designer,UI/UX Designer,"Figma, Prototyping, Adobe XD, Wireframing",2114350
8,BCA,Intern,101315,Female,Backend Developer,Backend Developer,"MySQL, Spring Boot, REST API, Java",2738867
3,PhD,Contract,14604,Female,DevOps Engineer,DevOps Engineer,"Docker, Linux, Kubernetes, AWS",3470721
1,M.Tech,Intern,149103,Both,UI/UX Designer,UI/UX Designer,"Wireframing, Adobe XD, Figma, Prototyping",2170002
8,MCA,Remote,175185,Both,Mobile App Developer,Mobile App Developer,"Android, Firebase, Flutter, Dart",2653078
0,M.Tech,Contract,160508,Both,DevOps Engineer,DevOps Engineer,"CI/CD, Docker, Linux, AWS",2807473
9,PhD,Intern,129341,Male,DevOps Engineer,DevOps Engineer,"CI/CD, AWS, Kubernetes, Linux",4228800
7,PhD,Full-Time,145756,Male,Backend Developer,Backend Developer,"REST API, Docker, Java, Spring Boot",3060052
3,MCA,Intern,73269,Female,Machine Learning Engineer,Machine Learning Engineer,"AWS, PyTorch, Docker, TensorFlow",2772513
2,MCA,Intern,98395,Female,Cyber Security Analyst,Cyber Security Analyst,"Network Security, Python, Penetration Testing, SIEM",2557828
4,MCA,Remote,83325,Both,DevOps Engineer,DevOps Engineer,"Docker, Linux, AWS, Kubernetes",2900889
7,MCA,Contract,93357,Male,DevOps Engineer,DevOps Engineer,"AWS, Docker, CI/CD, Kubernetes",3671429
15,B.Tech,Contract,153924,Both,Software Tester,Software Tester,"Manual Testing, JIRA, Automation, Selenium",3042554
9,PhD,Contract,128720,Both,Software Tester,Software Tester,"JIRA, Automation, Manual Testing, Selenium",2874444
6,M.Tech,Remote,137801,Female,Cyber Security Analyst,Cyber Security Analyst,"SIEM, Network Security, Python, Penetration Testing",3523325
11,MCA,Intern,44518,Both,Frontend Developer,Frontend Developer,"React, TypeScript, HTML, JavaScript",2630453
9,PhD,Remote,38253,Both,Cloud Engineer,Cloud Engineer,"Azure, AWS, Kubernetes, Docker",3789232
2,MBA,Intern,160618,Both,Software Tester,Software Tester,"Selenium, Automation, Manual Testing, JIRA",1703116
0,M.Tech,Contract,35059,Both,DevOps Engineer,DevOps Engineer,"Kubernetes, Linux, CI/CD, AWS",2720354
10,PhD,Full-Time,141137,Male,Software Tester,Software Tester,"JIRA, Automation, Selenium, Manual Testing",3194092
10,PhD,Full-Time,67498,Male,Backend Developer,Backend Developer,"Docker, Spring Boot, Java, MySQL",3666846
4,BCA,Full-Time,163786,Female,Mobile App Developer,Mobile App Developer,"Flutter, Android, Dart, Firebase",2152642
12,PhD,Intern,130983,Female,Mobile App Developer,Mobile App Developer,"Flutter, Dart, Android, Firebase",3411616
5,PhD,Contract,199853,Both,Cloud Engineer,Cloud Engineer,"Azure, AWS, Docker, Linux",3754208
15,M.Tech,Contract,56123,Female,UI/UX Designer,UI/UX Designer,"Prototyping, Wireframing, Figma, Adobe XD",3121688
15,B.Tech,Intern,114975,Male,Data Scientist,Data Scientist,"Statistics, Machine Learning, SQL, Pandas",3388549
0,M.Tech,Intern,33045,Male,Frontend Developer,Frontend Developer,"CSS, JavaScript, TypeScript, React",1792641
2,M.Tech,Full-Time,10018,Female,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, Python, TensorFlow, AWS",2759913
6,MCA,Full-Time,5700,Male,Software Tester,Software Tester,"Automation, Manual Testing, Selenium, JIRA",2250147
0,BCA,Intern,173289,Male,Machine Learning Engineer,Machine Learning Engineer,"Python, Docker, TensorFlow, AWS",2226750
15,MCA,Contract,117763,Female,Data Scientist,Data Scientist,"Machine Learning, Python, SQL, Statistics",4005211
14,MBA,Intern,55600,Male,Machine Learning Engineer,Machine Learning Engineer,"TensorFlow, PyTorch, Python, Docker",3914511
5,MCA,Contract,15167,Both,UI/UX Designer,UI/UX Designer,"Wireframing, Prototyping, Adobe XD, Figma",2067428
11,PhD,Contract,150358,Both,Cyber Security Analyst,Cyber Security Analyst,"Network Security, SIEM, Penetration Testing, Python",3861054
13,B.Tech,Full-Time,174624,Both,Cloud Engineer,Cloud Engineer,"AWS, Azure, Kubernetes, Docker",4331590
15,BCA,Remote,168480,Male,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, AWS, TensorFlow, Python",3908470
4,BCA,Remote,73583,Female,Data Scientist,Data Scientist,"Python, SQL, Machine Learning, Statistics",2473628
7,MBA,Full-Time,70286,Both,Software Tester,Software Tester,"JIRA, Automation, Manual Testing, Selenium",2460232
10,M.Tech,Contract,102262,Male,Cyber Security Analyst,Cyber Security Analyst,"Network Security, Penetration Testing, Python, SIEM",4103529
11,MBA,Contract,175604,Male,Cyber Security Analyst,Cyber Security Analyst,"Network Security, SIEM, Python, Penetration Testing",3769808
7,MBA,Remote,100420,Both,Machine Learning Engineer,Machine Learning Engineer,"Docker, Python, TensorFlow, AWS",3492145
7,PhD,Full-Time,108097,Female,Mobile App Developer,Mobile App Developer,"Dart, Flutter, Firebase, Android",3360662
10,B.Tech,Remote,42832,Male,Cloud Engineer,Cloud Engineer,"Azure, AWS, Kubernetes, Docker",3792958
7,M.Tech,Full-Time,134266,Male,UI/UX Designer,UI/UX Designer,"Prototyping, Figma, Wireframing, Adobe XD",2714669
2,MBA,Full-Time,156500,Both,Cyber Security Analyst,Cyber Security Analyst,"Python, Network Security, Penetration Testing, SIEM",2984516
10,PhD,Intern,132614,Male,Cloud Engineer,Cloud Engineer,"Docker, Linux, AWS, Kubernetes",4506755
10,M.Tech,Contract,123875,Both,Mobile App Developer,Mobile App Developer,"Android, Firebase, Flutter, Dart",3409696
15,B.Tech,Remote,35406,Both,DevOps Engineer,DevOps Engineer,"Docker, CI/CD, Kubernetes, AWS",4712198
0,M.Tech,Intern,120808,Both,Machine Learning Engineer,Machine Learning Engineer,"AWS, Python, TensorFlow, Docker",2751930
4,PhD,Remote,6439,Male,Cloud Engineer,Cloud Engineer,"Linux, Azure, Docker, Kubernetes",3266246
14,BCA,Contract,185634,Both,UI/UX Designer,UI/UX Designer,"Wireframing, Prototyping, Adobe XD, Figma",3278872
12,BCA,Intern,192754,Male,Cloud Engineer,Cloud Engineer,"Docker, AWS, Kubernetes, Azure",3360406
13,PhD,Full-Time,136785,Male,Backend Developer,Backend Developer,"Spring Boot, Docker, MySQL, REST API",4330394
0,B.Tech,Contract,194341,Female,Machine Learning Engineer,Machine Learning Engineer,"AWS, Docker, Python, PyTorch",2390430
2,M.Tech,Full-Time,83920,Both,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, Python, Docker, TensorFlow",2796168
15,MCA,Full-Time,100622,Both,Backend Developer,Backend Developer,"Docker, Spring Boot, Java, MySQL",3299658
11,M.Tech,Intern,76826,Both,Data Scientist,Data Scientist,"Pandas, Machine Learning, Python, Statistics",3682790
8,PhD,Intern,195449,Female,Cloud Engineer,Cloud Engineer,"AWS, Linux, Kubernetes, Docker",3933708
11,PhD,Full-Time,78164,Female,UI/UX Designer,UI/UX Designer,"Wireframing, Figma, Prototyping, Adobe XD",3376406
9,B.Tech,Remote,45302,Both,Cloud Engineer,Cloud Engineer,"Kubernetes, Azure, Linux, AWS",3545917
5,PhD,Contract,191410,Female,Cyber Security Analyst,Cyber Security Analyst,"Network Security, SIEM, Penetration Testing, Python",3270226
0,PhD,Intern,39067,Male,Cyber Security Analyst,Cyber Security Analyst,"Network Security, Penetration Testing, Python, SIEM",2782486
12,B.Tech,Full-Time,101599,Both,UI/UX Designer,UI/UX Designer,"Adobe XD, Wireframing, Figma, Prototyping",2713586
8,BCA,Intern,151913,Male,DevOps Engineer,DevOps Engineer,"Kubernetes, Linux, AWS, Docker",3296239
4,M.Tech,Contract,143052,Male,DevOps Engineer,DevOps Engineer,"Kubernetes, AWS, Docker, Linux",3275679
10,MCA,Intern,199917,Both,Mobile App Developer,Mobile App Developer,"Flutter, Dart, Firebase, Android",3181888
8,M.Tech,Full-Time,106816,Female,Software Tester,Software Tester,"Manual Testing, Automation, JIRA, Selenium",2937700
3,M.Tech,Full-Time,81201,Female,Mobile App Developer,Mobile App Developer,"Firebase, Dart, Flutter, Android",2613405
